dataset,condition,graph_id,method,mode,metric,value,edges,src
lin_perfect_d20_e1,lin_perfect_d20_e1,g09,DCDI-vanilla,directed,SHD,114.0,217.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g09/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g09,DCDI-vanilla,directed,F1,0.1687763713080168,217.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g09/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g09,DCDI-vanilla,skeleton,SHD,114.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g09/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g09,DCDI-jStable,directed,SHD,18.0,33.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g09/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g09,DCDI-jStable,directed,F1,0.3773584905660377,33.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g09/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g09,DCDI-jStable,skeleton,SHD,16.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g09/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g07,DCDI-vanilla,directed,SHD,95.0,170.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g07/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g07,DCDI-vanilla,directed,F1,0.2105263157894736,170.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g07/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g07,DCDI-vanilla,skeleton,SHD,95.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g07/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g07,DCDI-jStable,directed,SHD,12.0,30.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g07/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g07,DCDI-jStable,directed,F1,0.48,30.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g07/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g07,DCDI-jStable,skeleton,SHD,12.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g07/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g06,DCDI-vanilla,directed,SHD,101.0,194.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g06/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g06,DCDI-vanilla,directed,F1,0.1869158878504672,194.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g06/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g06,DCDI-vanilla,skeleton,SHD,101.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g06/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g06,DCDI-jStable,directed,SHD,15.0,28.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g06/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g06,DCDI-jStable,directed,F1,0.4166666666666666,28.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g06/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g06,DCDI-jStable,skeleton,SHD,13.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g06/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g01,DCDI-vanilla,directed,SHD,95.0,170.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g01/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g01,DCDI-vanilla,directed,F1,0.2105263157894736,170.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g01/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g01,DCDI-vanilla,skeleton,SHD,95.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g01/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g01,DCDI-jStable,directed,SHD,11.0,27.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g01/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g01,DCDI-jStable,directed,F1,0.5106382978723405,27.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g01/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g01,DCDI-jStable,skeleton,SHD,11.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g01/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g08,DCDI-vanilla,directed,SHD,107.0,196.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g08/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g08,DCDI-vanilla,directed,F1,0.1851851851851852,196.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g08/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g08,DCDI-vanilla,skeleton,SHD,107.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g08/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g08,DCDI-jStable,directed,SHD,17.0,28.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g08/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g08,DCDI-jStable,directed,F1,0.375,28.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g08/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g08,DCDI-jStable,skeleton,SHD,16.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g08/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g04,DCDI-vanilla,directed,SHD,98.0,184.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g04/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g04,DCDI-vanilla,directed,F1,0.196078431372549,184.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g04/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g04,DCDI-vanilla,skeleton,SHD,98.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g04/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g04,DCDI-jStable,directed,SHD,15.0,30.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g04/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g04,DCDI-jStable,directed,F1,0.4399999999999999,30.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g04/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g04,DCDI-jStable,skeleton,SHD,14.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g04/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g03,DCDI-vanilla,directed,SHD,82.0,142.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g03/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g03,DCDI-vanilla,directed,F1,0.2469135802469136,142.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g03/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g03,DCDI-vanilla,skeleton,SHD,82.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g03/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g03,DCDI-jStable,directed,SHD,12.0,28.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g03/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g03,DCDI-jStable,directed,F1,0.5,28.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g03/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g03,DCDI-jStable,skeleton,SHD,11.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g03/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g02,DCDI-vanilla,directed,SHD,100.0,179.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g02/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g02,DCDI-vanilla,directed,F1,0.1909547738693467,179.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g02/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g02,DCDI-vanilla,skeleton,SHD,100.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g02/vanilla_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g02,DCDI-jStable,directed,SHD,11.0,29.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g02/jstable_val/summary.json
lin_perfect_d20_e1,lin_perfect_d20_e1,g02,DCDI-jStable,directed,F1,0.4897959183673469,29.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e1/g02/jstable_val/summary.json
