,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
x0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
x1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
x3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
x4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
x7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
x15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
x16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
